st_number,pos_code,label,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
1,"B3Z 1E5",business,-63.8748978,44.6897503,1,"FOX HOLLOW DR",,"UPPER TANTALLON",,,"B3Z 1E5",,15601cc1ba01d4fc
1,"B3Z 1E5",business,-63.8748978,44.6897503,1,"FOX HOLLOW DR",,"UPPER TANTALLON",,,"B3Z 1E5",,15601cc1ba01d4fc
1969,"B3J 3R7",business,-63.5745235,44.6526402,1969,"UPPER WATER ST",,HALIFAX,,,"B3J 3R7",,f629917dbbcc5a10
5845,"B3H 1G3",business,-63.5789125,44.6302389,5845,"GORSEBROOK AVE",,HALIFAX,,,"B3H 1G3",,a431105678a8b606
5845,"B3H 1G3",business,-63.5789125,44.6302389,5845,"GORSEBROOK AVE",,HALIFAX,,,"B3H 1G3",,a431105678a8b606
30,"B0J 3A0",business,-63.5109842,44.6268872,30,"KILGAR RD",,"EASTERN PASSAGE",,,"B0J 3A0",,2549e36c4f031ab5
36,"B3G 1A1",residential,-63.4924844,44.6124905,36,"COW BAY RD",,"EASTERN PASSAGE",,,"B3G 1A1",,ab3256929309aa27
27,"B4A 3K4",business,-63.6818374,44.7199697,27,"CHAMPLAIN CRT",,BEDFORD,,,"B4A 3K4",,ecf6c604d0600628
2770,"B3K 5E4",business,-63.6022712,44.653802,2770,"WINDSOR ST",,HALIFAX,,,"B3K 5E4",,023afcea49141e36
18,"B3P 2A2",business,-63.6117983,44.6286553,18,"COLINDALE ST",,HALIFAX,,,"B3P 2A2",,651eab12cc4c1da4
14,"B0J 3B0",residential,-62.5438727,44.9285163,14,"LAKE RD",,"SHEET HARBOUR",,,"B0J 3B0",,49677a988a101bc0
16,"B3A 3B7",residential,-63.5850079,44.6706404,16,"JAMIESON ST",,DARTMOUTH,,,"B3A 3B7",,06455c7165927985
1935,"B3G 1J2",residential,-63.4689785,44.6062596,1935,"CALDWELL RD",,"EASTERN PASSAGE",,,"B3G 1J2",,e4967d2c59d5a7a3
22,"B0J 1Y0",business,-62.9547086,44.7692291,22,"DAYLILY LANE",,"LAKE CHARLOTTE",,,"B0J 1Y0",,b77e99798c72ce42
18,"B2W 5C2",residential,-63.4942626,44.6760406,18,"CIRCASSION DR",,"COLE HARBOUR",,,"B2W 5C2",,52460fdc2590a051
5527,"B3J 1R2",business,-63.5819669,44.6505178,5527,"COGSWELL ST",,HALIFAX,,,"B3J 1R2",,68e67afcbefc2979
1221,"B3J 1Y2",business,-63.5703153,44.6404211,1221,"BARRINGTON ST",,HALIFAX,,,"B3J 1Y2",,1a05ae7997d899a0
971,"B4G 0A7",business,-63.6892793,44.794951,971,"WINDGATE DR",,"BEAVER BANK",,,"B4G 0A7",,755f56fb016403d7
1209,"B3H 4P8",business,-63.5661469,44.6407921,1209,"MARGINAL RD",,HALIFAX,,,"B3H 4P8",,a147f746adf26031
6583,"B3L 1B6",business,-63.6043916,44.6435806,6583,"QUINPOOL RD",,HALIFAX,,,"B3L 1B6",,5ae3e9f3cf99f5fc
22,"B0J 1Y0",business,-62.8758293,44.7322601,22,"HOWARD STEVENS WALK",,"CLAM HARBOUR",,,"B0J 1Y0",,fcbb4258cb897250
2990,"B3L 2W4",business,-63.6089946,44.6535963,2990,"OXFORD ST",,HALIFAX,,,"B3L 2W4",,94017cf5d3c07024
35,"B2X 2M1",business,-63.5507702,44.7036943,35,"ANDOVER ST",,DARTMOUTH,,,"B2X 2M1",,92ce84d63c28bdde
20,"B0J 1T0",business,-64.0418015,44.63278,20,"CONRADS BRANCH DR",,HUBBARDS,,,"B0J 1T0",,72e9f48cebbf951c
2236,"B3K 2Z9",business,-63.5840652,44.6530127,2236,"MAITLAND ST",,HALIFAX,,,"B3K 2Z9",,b5080cdb04320309
1274,"B3J 1T6",business,-63.5699978,44.6417541,1274,"HOLLIS ST",,HALIFAX,,,"B3J 1T6",,05bb41b1d200500e
6463,"B3L 1V6",business,-63.6077014,44.6509331,6463,"ALMON ST",,HALIFAX,,,"B3L 1V6",,dcaa14ca1ffc0f30
108,"B4C 3R7",business,-63.6780665,44.7630159,108,"HALLMARK AVE",,"LOWER SACKVILLE",,,"B4C 3R7",,d8f07b95d52aa817
2,"B2W 5C2",business,-63.4923335,44.6762909,2,"CIRCASSION DR",,"COLE HARBOUR",,,"B2W 5C2",,7f64b20918cee06d
2130,"B3L 3E3",business,-63.6095649,44.6425266,2130,"ARMCRESCENT WEST AVE",,HALIFAX,,,"B3L 3E3",,759fdb33f98329b3
177,"B2W 4K6",business,-63.4999592,44.6789535,177,"POPLAR DR",,"COLE HARBOUR",,,"B2W 4K6",,f4d1c8a9ef3aaef3
595,"B2V 1Y5",business,-63.4909789,44.6660847,595,"COLBY DR",,"COLE HARBOUR",,,"B2V 1Y5",,0ba11a36b0b36873
14,"B0J 3B0",residential,-62.4646938,44.8479938,14,"MOZIER COVE RD",,"SOBER ISLAND",,,"B0J 3B0",,bbc8807ba2669c0b
1772,"B3H 3Z6",business,-63.5993762,44.6421642,1772,"OXFORD ST",,HALIFAX,,,"B3H 3Z6",,55fc169e22d33fed
7,"B3P 1N3",business,-63.6188552,44.6233688,7,"MONT ST",,HALIFAX,,,"B3P 1N3",,27691029c2fa21b4
1385,"B4E 3A7",business,-63.7142783,44.7896226,1385,"SACKVILLE DR",,"MIDDLE SACKVILLE",,,"B4E 3A7",,01b39a74f4e98ca1
222,"B4C 2R4",business,-63.6710174,44.757567,222,"SACKVILLE DR",,"LOWER SACKVILLE",,,"B4C 2R4",,71fc9fc496091278
3115,"B3K 3G9",business,-63.5955734,44.664789,3115,"VEITH ST",,HALIFAX,,,"B3K 3G9",,b03c46402119669b
479,"B2W 4S1",business,-63.4830959,44.6781368,479,"ARKLOW DR",,"COLE HARBOUR",,,"B2W 4S1",,4284a7da62b98332
2705,"B3K 4L3",business,-63.5962981,44.6566857,2705,"FERN LANE",,HALIFAX,,,"B3K 4L3",,d40eae321e462580
6225,"B3L 1K7",business,-63.5985366,44.6499783,6225,"CHEBUCTO RD",,HALIFAX,,,"B3L 1K7",,0c8a73026a4ee533
5594,"B3J 1C2",business,-63.5755281,44.6403564,5594,"MORRIS ST",,HALIFAX,,,"B3J 1C2",,7d35f71316bc1fa6
1186,"B3H 4K9",residential,-63.5742231,44.6387906,1186,"QUEEN ST",,HALIFAX,,,"B3H 4K9",,3ebd784a3434faf7
18,"B3S 1C6",business,-63.6763521,44.6470097,18,"OLAND CRES",,HALIFAX,,,"B3S 1C6",,ee681a87c2359080
9,"B2Y 3X1",business,-63.5420566,44.6684002,9,"CHESTNUT LANE",,DARTMOUTH,,,"B2Y 3X1",,0a94374f8dbe39da
1,"B3Z 1K7",business,-63.8056288,44.7335099,1,"YANKEETOWN RD",,"HAMMONDS PLAINS",,,"B3Z 1K7",,4ef89c1e62c71a0a
7,"B3M 4N7",business,-63.6634429,44.6703224,7,"LANGBRAE DR",,HALIFAX,,,"B3M 4N7",,104434f5dfe02dd1
20,"B0J 1T0",business,-64.0391299,44.6426099,20,"REGAN RD",,QUEENSLAND,,,"B0J 1T0",,bfcd36341fb62892
4144,"B2Z 1R1",business,-63.3548791,44.6435957,4144,"LAWRENCETOWN RD",,"EAST LAWRENCETOWN",,,"B2Z 1R1",,1bd1e0dc63703746
1690,"B3T 1P7",business,-63.7101276,44.576597,1690,"PROSPECT RD",,"HATCHET LAKE",,,"B3T 1P7",,2753d06ffe5daea7
1237,"B2V 1N1",business,-63.4779437,44.6727934,1237,"COLE HARBOUR RD",,"COLE HARBOUR",,,"B2V 1N1",,ae84555bf5d6ef0b
1326,"B4A 1C9",business,-63.666131,44.7270729,1326,"BEDFORD HWY",,BEDFORD,,,"B4A 1C9",,76c7f8797cbf8147
5217,"B3K 6A6",business,-63.5953453,44.665047,5217,"YOUNG ST",,HALIFAX,,,"B3K 6A6",,e41ccb3f2459d54a
6101,"B3H 1T2",business,-63.5877663,44.6361286,6101,"SOUTH ST",,HALIFAX,,,"B3H 1T2",,bc2e3c11e3d049a8
19,"B0J 2L0",residential,-63.1663079,44.7811761,19,"WILLOWDALE DR",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,628ddc57d500bca3
67,"B3N 2G6",business,-63.6385249,44.6510977,67,"SUNNYBRAE AVE",,HALIFAX,,,"B3N 2G6",,44c7cc7cd96af4be
10089,"B0J 1T0",business,-64.0496477,44.6444796,10089,"ST MARGARETS BAY RD",,HUBBARDS,,,"B0J 1T0",,4f8af9f8b2d3957c
10089,"B0J 1T0",business,-64.0496477,44.6444796,10089,"ST MARGARETS BAY RD",,HUBBARDS,,,"B0J 1T0",,4f8af9f8b2d3957c
1,"B0J 1T0",residential,-64.0317778,44.6335532,1,"STACEY LANE",,QUEENSLAND,,,"B0J 1T0",,7c02ae36bdc784e9
22,"B3M 0C2",business,-63.6525225,44.6786109,22,"CARROLL LANE",,HALIFAX,,,"B3M 0C2",,8a7a0eab632acabd
2155,"B3L 4P9",business,-63.5961906,44.6469575,2155,"MONASTERY LANE",,HALIFAX,,,"B3L 4P9",,7472f2ca0e7ad4ea
100,"B4C 2G5",business,-63.6814878,44.7835731,100,"STOKIL DR",,"LOWER SACKVILLE",,,"B4C 2G5",,d1e25b6b71969fdc
20,"B0J 1T0",business,-64.0308009,44.6327842,20,"FITZGERALD RD",,QUEENSLAND,,,"B0J 1T0",,1fea1ed002698df4
1,"B0J 1T0",residential,-64.0258811,44.6363999,1,"BEACH VIEW DR",,QUEENSLAND,,,"B0J 1T0",,cd4266d1a93739a1
16,"B2W 6A1",business,-63.514313,44.6664399,16,"P THOMAS DR",,DARTMOUTH,,,"B2W 6A1",,c1e85f0181cffef8
7001,"B3L 4R4",residential,-63.6174693,44.646232,7001,"LEPPERT ST",,HALIFAX,,,"B3L 4R4",,36944eb30f822bbf
20,"B2W 5C2",residential,-63.4933318,44.6766228,20,"CIRCASSION DR",,"COLE HARBOUR",,,"B2W 5C2",,c075c1f5a6e84342
51,"B4E 1V4",residential,-63.6896174,44.7728595,51,"OLD BEAVER BANK RD",,"LOWER SACKVILLE",,,"B4E 1V4",,39a4124b650a0fee
28,"B2X 2B3",business,-63.5394289,44.695255,28,"GOUROK AVE",,DARTMOUTH,,,"B2X 2B3",,cc9d28c2406de9c9
114,"B2W 2S7",business,-63.5328729,44.6734878,114,"WOODLAWN RD",,DARTMOUTH,,,"B2W 2S7",,cd86caaaf8be0f44
2203,"B3K 3B5",business,-63.584961,44.6532534,2203,"GOTTINGEN ST",,HALIFAX,,,"B3K 3B5",,4201211bb86840f1
22,"B2W 5C2",residential,-63.4950636,44.676621,22,"CIRCASSION DR",,"COLE HARBOUR",,,"B2W 5C2",,f240c0101f4627d5
10,"B2W 1Y7",business,-63.5197836,44.6811782,10,"ROBLEA DR",,DARTMOUTH,,,"B2W 1Y7",,4ce8f68f805ec0eb
30,"B0J 3A0",business,-63.5194397,44.6262471,30,"CURTISS RD",,SHEARWATER,,,"B0J 3A0",,9658e5857edb248c
3008,"B3L 2W5",business,-63.6093172,44.6537662,3008,"OXFORD ST",,HALIFAX,,,"B3L 2W5",,0261e7408e0f8113
1040,"B4A 1B4",business,-63.6757841,44.7179697,1040,"BEDFORD HWY",,BEDFORD,,,"B4A 1B4",,dfb54a3530e95b97
5557,"B3K 1C5",business,-63.5865629,44.6528118,5557,"CUNARD ST",,HALIFAX,,,"B3K 1C5",,d46796abd0c25ab9
2531,"B3L 2Y5",business,-63.6044341,44.6467209,2531,"ELM ST",,HALIFAX,,,"B3L 2Y5",,35d0cc1ba02918a4
91,"B2Y 1M1",business,-63.5624807,44.671068,91,"PRINCE ALBERT RD",,DARTMOUTH,,,"B2Y 1M1",,2b2114524cd8be53
20,"B0J 1T0",business,-63.9962645,44.6519333,20,"CLEVELAND POINT RD",,QUEENSLAND,,,"B0J 1T0",,00f43a4dbc18bdde
1,"B0J 1T0",residential,-63.9982463,44.65313,1,"PUDDLE HILL LANE",,QUEENSLAND,,,"B0J 1T0",,4e27a36b9c5162e6
43,"B3A 4S7",business,-63.5870637,44.6862219,43,"JOSEPH YOUNG ST",,DARTMOUTH,,,"B3A 4S7",,e8d8dedd3679d042
1,"B2R 1E3",business,-63.5984431,44.7829973,1,"LAKEWOOD DR",,WAVERLEY,,,"B2R 1E3",,ffbf58177475dce8
14,"B3A 3B7",residential,-63.5855009,44.6706488,14,"JAMIESON ST",,DARTMOUTH,,,"B3A 3B7",,4174e92b683e42bd
5682,"B3K 1N4",business,-63.5932546,44.6556127,5682,"NORTH ST",,HALIFAX,,,"B3K 1N4",,7e88e4c2f8eaaad7
1475,"B4A 3Z5",business,-63.6605913,44.7304838,1475,"BEDFORD HWY",,BEDFORD,,,"B4A 3Z5",,4c77f14adee0a1d5
1378,"B4B 1P6",business,-63.7469074,44.7266988,1378,"HAMMONDS PLAINS RD",,"HAMMONDS PLAINS",,,"B4B 1P6",,619de69f59c98a6d
111,"B2Z 0A4",business,-63.4027359,44.6467291,111,"LITTLE POND LANE",,LAWRENCETOWN,,,"B2Z 0A4",,98c8070bfbac6396
6117,"B3H 2E8",business,-63.5917512,44.6428733,6117,"JUBILEE RD",,HALIFAX,,,"B3H 2E8",,82895e8ad40fb4d7
14,"B0J 3B0",residential,-62.5428661,44.926413,14,"ELMHURST DR",,"SHEET HARBOUR",,,"B0J 3B0",,9dbfe9f13494840d
43,"B4A 4C4",business,-63.6797835,44.7092282,43,"OCEANVIEW DR",,BEDFORD,,,"B4A 4C4",,4bfbd2090f7d88ab
6,"B3P 2M8",residential,-63.6134873,44.6194354,6,"ARNOLD DR",,HALIFAX,,,"B3P 2M8",,6514aee831b0455a
56,"B3M 2S8",business,-63.6677152,44.6812189,56,"KEARNEY LAKE RD",,HALIFAX,,,"B3M 2S8",,718ff095c60b6de9
1746,"B3T 1M8",residential,-63.709432,44.643524,1746,"ST MARGARETS BAY RD",,TIMBERLEA,,,"B3T 1M8",,0bee6697fb359d77
45,"B2Y 2N6",business,-63.5690225,44.6654758,45,"ALDERNEY DR",,DARTMOUTH,,,"B2Y 2N6",,317d2c2f9c7e12e1
5447,"B3Z 2H9",business,-63.8888091,44.6951031,5447,"ST MARGARETS BAY RD",,"UPPER TANTALLON",,,"B3Z 2H9",,7eda2c66145a2061
5508,"B3K 2A8",business,-63.5992743,44.6626791,5508,"HENNESSEY PL",,HALIFAX,,,"B3K 2A8",,1b349e30da1e32c9
320,"B2W 4T6",business,-63.4961105,44.6903433,320,"FLYING CLOUD DR",,"COLE HARBOUR",,,"B2W 4T6",,ead472fab9748f02
16,"B2W 5C2",residential,-63.4937329,44.6760378,16,"CIRCASSION DR",,"COLE HARBOUR",,,"B2W 5C2",,aa8fcc97f0a27987
28,"B0N 1X0",residential,-63.1481362,45.044276,28,"ELM DR",,"MIDDLE MUSQUODOBOIT",,,"B0N 1X0",,17860cfd3878b6c8
9,"B3Z 1H3",residential,-63.8558799,44.7024744,9,"ELEANOR LANE",,"STILLWATER LAKE",,,"B3Z 1H3",,69b7b9455f361a02
399,"B3Z 4K2",business,-63.8807862,44.7178723,399,"WESTWOOD BLVD",,"UPPER TANTALLON",,,"B3Z 4K2",,83964bfc9ae8a9c7
11,"B3B 1W4",business,-63.5964235,44.7078076,11,"SCARFE CRT",,DARTMOUTH,,,"B3B 1W4",,aa5bdc8089058959
181,"B3M 1B4",business,-63.6437162,44.6556743,181,"MAIN AVE",,HALIFAX,,,"B3M 1B4",,c885b64757232e4b
1233,"B3J 1Y2",business,-63.5704648,44.6406519,1233,"BARRINGTON ST",,HALIFAX,,,"B3J 1Y2",,17446422d663511a
166,"B3P 2N8",residential,-63.6212187,44.6315172,166,"COWIE HILL RD",,HALIFAX,,,"B3P 2N8",,5c06b59f965cf242
3405,"B3K 3M3",business,-63.6032439,44.6676765,3405,"DEVONSHIRE AVE",,HALIFAX,,,"B3K 3M3",,4ae23c63b3681908
95,"B4G 1C5",business,-63.6810808,44.8464197,95,"KINSAC RD",,"BEAVER BANK",,,"B4G 1C5",,ef625c6ec12816a9
66,"B2W 5B6",business,-63.5021005,44.6839006,66,"VALKYRIE CRES",,DARTMOUTH,,,"B2W 5B6",,513a11c5e1824b3b
19,"B0J 2L0",residential,-63.147141,44.7863755,19,"EAST PETPESWICK RD",,"MUSQUODOBOIT HARBOUR",,,"B0J 2L0",,cf93456dfbd82b0d
65,"B3N 2G6",business,-63.6383116,44.6511995,65,"SUNNYBRAE AVE",,HALIFAX,,,"B3N 2G6",,2ad28dc92513b667
2,"B3A 2K2",business,-63.5790746,44.6843677,2,"CEDAR CRT",,DARTMOUTH,,,"B3A 2K2",,3b8e9e439819dc20
22,"B4C 3M1",business,-63.6579368,44.7594836,22,"GLENDALE AVE",,"LOWER SACKVILLE",,,"B4C 3M1",,564c492607502f38
8416,"B0N 2M0",business,-62.9514369,45.1375724,8416,"HIGHWAY 224",,"UPPER MUSQUODOBOIT",,,"B0N 2M0",,083df6e839fab2cb
